id,de,en
DEBUG_TRANS,Übersetzungen,Translations
DEBUG_PART,Teil,Part
DEBUG_GENERAL_TELEPORT_MAP,Auf Karte Teleportieren,Teleport on map
DEBUG_GENERAL_TELEPORT_SCENE,Zu Szene Teleportieren,Teleport to scene
DEBUG_GENERAL_CHANGE_CHAPTER,Kapitel ändern,Change chapter
DEBUG_GENERAL_TELEPORTATIONS,Teleportationen,Teleportations
DEBUG_GENERAL_BATTLES,Kämpfe,Battles
DEBUG_GENERAL_CHAPTERS,Kapitel,Chapters
DEBUG_GENERAL_CURR_CHAPTER,Momentanes Kapitel:,Current chapter:
DEBUG_TYPE_MAP,Map,Map
DEBUG_TYPE_GLOBAL,Global,Global
DEBUG_DIALOGUES_ATTRIBUTES_TYPE,Typ,Type
DEBUG_DIALOGUES_ATTRIBUTES_TEXT_OBJECT,Objekt,Object
DEBUG_DIALOGUES_ATTRIBUTES_TEXT_STATIC,Statisch,Static
DEBUG_DIALOGUES_ATTRIBUTES_TEXT_POS,Position,Position
DEBUG_DIALOGUES_ATTRIBUTES_OBJECT,Objekt,Object
DEBUG_DIALOGUES_ATTRIBUTES_ENSURE_VISIBILITY,Sichtbarkeit Garantieren,Ensure Visibility
DEBUG_DIALOGUES_ATTRIBUTES_SPRITES,Sprites,Sprites
DEBUG_DIALOGUES_ATTRIBUTES_SPRITES_LEFT,Linkes Sprite:,Left sprite:
DEBUG_DIALOGUES_ATTRIBUTES_SPRITES_RIGHT,Rechtes Sprite:,Right sprite:
DEBUG_DIALOGUES_ATTRIBUTES_MINI_BUST,Mini Bust,Mini Bust
DEBUG_DIALOGUES_ATTRIBUTES_POS,Position,Position
DEBUG_DIALOGUES_ATTRIBUTES_NAME_POS,Name Position,Name Position
DEBUG_DIALOGUES_ATTRIBUTES_SHOW_ARROW,Pfeil Anzeigen,Show Arrow
DEBUG_DIALOGUES_ATTRIBUTES_LOC,Lokalisierung,Localization
DEBUG_DIALOGUES_ATTRIBUTES_LOC_ID,Lokalisierungs-ID,Localization ID
DEBUG_DIALOGUES_ATTRIBUTES_TEXT,Text,Text
DEBUG_DIALOGUES_ATTRIBUTES_NAME,Name,Name
DEBUG_DIALOGUES_ATTRIBUTES_VOX,Vox,Vox
DEBUG_DIALOGUES_ATTRIBUTES_VOX_FILE,Vox-Datei,Vox-File
DEBUG_DIALOGUES_ATTRIBUTES_VOX_PITCH,Tonhöhe,Pitch
DEBUG_DIALOGUES_ATTRIBUTES_VALUE,Wert:,Value:
DEBUG_DIALOGUES_ATTRIBUTES_NEW_KEY,Neuer Schlüssel:,New key:
DEBUG_DIALOGUES_ATTRIBUTES_NEW_VALUE,Neuer Wert:,New value:
DEBUG_DIALOGUES_ATTRIBUTES_ADD_KEY_VALUE,Schlüssel/Wert Paar hinzufügen,Add Key/Value Pair
DEBUG_DIALOGUES_ATTRIBUTES_CONDITIONS,Bedingungen,Conditions
DEBUG_DIALOGUES_PART_OPTIONS_TEXT,Text,Text
DEBUG_DIALOGUES_PART_OPTIONS_INFO,Info,Info
DEBUG_DIALOGUES_PART_OPTIONS_CHOICE,Auswahl,Choice
DEBUG_DIALOGUES_PART_OPTIONS_ONE_TIME,Einmalig,One Time
DEBUG_DIALOGUES_PART_OPTIONS_READY,Bereit,Ready
DEBUG_DIALOGUES_KEY,Dialog-Schlüssel,Dialogue-Key
DEBUG_PROPERTIES,Eigenschaften,Properties
DEBUG_METHODS,Methoden,Methods
DEBUG_KEY_IN_USE,Dieser Schlüssel ist bereits in Verwendung.,This key is already in use.
DEBUG_NEW_KEY,Neuer Schlüssel,New Key
DEBUG_EXPRESSION,Expression:,Expression:
DEBUG_EXPRESSION_INSTANCE,Instanz:,Instance:
DEBUG_EXPRESSION_COMP,Komponente:,Component:
DEBUG_EXPRESSION_EXECUTE,Expression Ausführen,Execute Expression
DEBUG_EXPRESSION_ATTRIBUTES,Methoden/Eigenschaften,Methods/Properties
DEBUG_EXPRESSION_NO_INSTANCE,Keine Instanz Gefunden!,No Instance Found!
DEBUG_EXPRESSION_EXECUTE_FAILED,Ausführung Fehlgeschlagen!,Execution Failed!
DEBUG_EXPRESSION_SUCCESS,Erfolg,Success
DEBUG_STATER_INPUT_NAMES,Variablen-Namen:,Variable-Names:
DEBUG_STATER_CONDITIONS,Bedingungen,Conditions
DEBUG_STATER_ACTIONS,Aktionen,Actions
